Código,Varón,Mujer,Total
06028,270247.0,282655.0,552902.0
06035,162264.0,180413.0,342677.0
06091,158608.0,165636.0,324244.0
06260,147980.0,152979.0,300959.0
06270,81902.0,81820.0,163722.0
06274,212909.0,213096.0,426005.0
06371,198094.0,216102.0,414196.0
06408,87278.0,93963.0,181241.0
06410,81188.0,86636.0,167824.0
06412,131291.0,134690.0,265981.0
06427,866690.0,909126.0,1775816.0
06434,218873.0,240390.0,459263.0
06490,297042.0,319237.0,616279.0
06515,159205.0,163170.0,322375.0
06539,259417.0,269077.0,528494.0
06560,224291.0,228214.0,452505.0
06568,153129.0,167980.0,321109.0
06658,281928.0,301015.0,582943.0
06749,78645.0,84595.0,163240.0
06756,138407.0,154471.0,292878.0
06760,134584.0,141606.0,276190.0
06805,184774.0,191607.0,376381.0
06840,161806.0,178265.0,340071.0
06861,125792.0,143628.0,269420.0
06007,8405.0,8667.0,17072.0
06014,5909.0,6138.0,12047.0
06021,5181.0,5473.0,10654.0
06042,9985.0,10352.0,20337.0
06049,31648.0,33632.0,65280.0
06056,144648.0,156924.0,301572.0
06063,21520.0,22303.0,43823.0
06070,16193.0,16568.0,32761.0
06077,13979.0,15065.0,29044.0
06084,10239.0,10000.0,20239.0
06098,43012.0,45458.0,88470.0
06105,16828.0,17362.0,34190.0
06112,20025.0,21311.0,41336.0
06119,13064.0,13303.0,26367.0
06126,47271.0,47190.0,94461.0
06134,25920.0,25972.0,51892.0
06140,7058.0,7436.0,14494.0
06147,10856.0,11381.0,22237.0
06154,5806.0,5764.0,11570.0
06161,7328.0,7364.0,14692.0
06168,3997.0,4208.0,8205.0
06175,12109.0,12781.0,24890.0
06182,30413.0,31739.0,62152.0
06189,7701.0,8124.0,15825.0
06196,11115.0,11818.0,22933.0
06203,18752.0,19568.0,38320.0
06210,23690.0,25013.0,48703.0
06217,20707.0,21570.0,42277.0
06224,30744.0,33441.0,64185.0
06231,8402.0,8487.0,16889.0
06238,13061.0,13981.0,27042.0
06245,27790.0,28939.0,56729.0
06252,106017.0,107602.0,213619.0
06266,14923.0,14882.0,29805.0
06277,4419.0,4450.0,8869.0
06280,19404.0,20190.0,39594.0
06287,6280.0,4850.0,11130.0
06294,7268.0,7635.0,14903.0
06301,8483.0,8882.0,17365.0
06308,1444.0,1372.0,2816.0
06315,9527.0,10220.0,19747.0
06322,5328.0,5455.0,10783.0
06329,7275.0,7614.0,14889.0
06336,1893.0,1807.0,3700.0
06343,5560.0,5642.0,11202.0
06351,5639.0,5622.0,11261.0
06357,295294.0,323695.0,618989.0
06364,43221.0,43964.0,87185.0
06385,8894.0,9184.0,18078.0
06392,15554.0,15310.0,30864.0
06399,5928.0,5898.0,11826.0
06406,4739.0,4846.0,9585.0
06413,43464.0,46841.0,90305.0
06420,34239.0,35394.0,69633.0
06441,315263.0,339061.0,654324.0
06448,4940.0,5270.0,10210.0
06455,11518.0,12353.0,23871.0
06462,8215.0,8584.0,16799.0
06469,20505.0,21303.0,41808.0
06476,8790.0,8733.0,17523.0
06483,17497.0,18675.0,36172.0
06497,52185.0,54088.0,106273.0
06505,10648.0,8653.0,19301.0
06511,4849.0,5339.0,10188.0
06518,10605.0,10674.0,21279.0
06525,27802.0,26379.0,54181.0
06532,31054.0,32230.0,63284.0
06547,10358.0,10676.0,21034.0
06553,3326.0,3173.0,6499.0
06574,8471.0,8583.0,17054.0
06581,44420.0,48513.0,92933.0
06588,23140.0,24582.0,47722.0
06595,55288.0,56420.0,111708.0
06602,15000.0,15207.0,30207.0
06609,19254.0,20522.0,39776.0
06616,2916.0,2971.0,5887.0
06623,49267.0,55323.0,104590.0
06630,1834.0,1806.0,3640.0
06638,148453.0,150624.0,299077.0
06644,12820.0,12908.0,25728.0
06648,40250.0,40891.0,81141.0
06651,7724.0,8019.0,15743.0
06655,4937.0,4951.0,9888.0
06665,16320.0,16722.0,33042.0
06672,7450.0,7726.0,15176.0
06679,8779.0,8364.0,17143.0
06686,11382.0,12050.0,23432.0
06693,6220.0,6293.0,12513.0
06700,10514.0,10235.0,20749.0
06707,15683.0,16420.0,32103.0
06714,15969.0,16684.0,32653.0
06721,4217.0,4427.0,8644.0
06728,11509.0,11518.0,23027.0
06735,11353.0,11785.0,23138.0
06742,4169.0,4230.0,8399.0
06763,71171.0,74686.0,145857.0
06770,29066.0,29970.0,59036.0
06778,29288.0,30190.0,59478.0
06784,4975.0,5106.0,10081.0
06791,59904.0,63967.0,123871.0
06798,4536.0,4642.0,9178.0
06812,928.0,836.0,1764.0
06819,6354.0,6369.0,12723.0
06826,21054.0,21967.0,43021.0
06833,27720.0,29390.0,57110.0
06847,4291.0,4409.0,8700.0
06854,17340.0,18502.0,35842.0
06868,15920.0,15810.0,31730.0
06875,15677.0,15337.0,31014.0
06882,56970.0,57299.0,114269.0
