Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total
02001,25930.0,10601.0,27856.0,4203.0,12926.0,2952.0,84468.0
02002,32552.0,13405.0,20892.0,2189.0,3792.0,326.0,73156.0
02003,24293.0,11631.0,28083.0,4747.0,10018.0,1717.0,80489.0
02004,17610.0,12247.0,25761.0,6316.0,11787.0,2734.0,76455.0
02005,25135.0,13939.0,26666.0,4123.0,6161.0,822.0,76846.0
02006,27434.0,16127.0,24335.0,3241.0,3666.0,386.0,75189.0
02007,23084.0,16115.0,26374.0,4866.0,9014.0,2030.0,81483.0
02008,10608.0,9501.0,18704.0,5853.0,10586.0,2952.0,58204.0
02009,14573.0,12131.0,20027.0,4239.0,4717.0,808.0,56495.0
02010,17560.0,14189.0,21494.0,3727.0,3943.0,540.0,61453.0
02011,22275.0,17164.0,24403.0,3726.0,3504.0,388.0,71460.0
02012,24546.0,17910.0,27553.0,4139.0,4083.0,316.0,78547.0
02013,40165.0,22409.0,29772.0,3501.0,4264.0,395.0,100506.0
02014,42796.0,20574.0,30264.0,3375.0,5415.0,494.0,102918.0
02015,22613.0,14721.0,24810.0,4164.0,5378.0,779.0,72465.0
06028,26842.0,26283.0,51883.0,18022.0,27024.0,6864.0,156918.0
06035,26650.0,21926.0,38930.0,10193.0,12962.0,2481.0,113142.0
06091,15534.0,15578.0,30550.0,11013.0,16200.0,4289.0,93164.0
06260,12979.0,13425.0,28214.0,10039.0,16719.0,4576.0,85952.0
06270,5824.0,5794.0,13976.0,5563.0,10099.0,3231.0,44487.0
06274,13377.0,13677.0,35360.0,15280.0,27143.0,8298.0,113135.0
06371,28016.0,24541.0,45665.0,12927.0,18088.0,3965.0,133202.0
06408,11111.0,10872.0,18677.0,5610.0,7257.0,1595.0,55122.0
06410,11307.0,11412.0,17336.0,4658.0,5690.0,1041.0,51444.0
06412,9202.0,9807.0,23237.0,9749.0,15512.0,4215.0,71722.0
06427,66304.0,65604.0,158217.0,64035.0,106458.0,24291.0,484909.0
06434,33174.0,29549.0,51782.0,13766.0,17734.0,3589.0,149594.0
