Código,Propietario de la vivienda y del terreno,Propietario sólo de la vivienda,Inquilino,Ocupante por préstamo,Ocupante por trabajo,Otra situación,Total
02,648958.0,69785.0,343443.0,44513.0,23793.0,19642.0,1150134.0
06,3382869.0,187445.0,700239.0,328738.0,67455.0,122738.0,4789484.0
10,76916.0,1553.0,7840.0,6091.0,1121.0,2480.0,96001.0
14,671638.0,19974.0,220858.0,76239.0,20536.0,22598.0,1031843.0
18,176138.0,23882.0,29000.0,19018.0,7902.0,11857.0,267797.0
22,200617.0,23443.0,22461.0,21624.0,5603.0,14674.0,288422.0
26,100387.0,5716.0,30631.0,11905.0,4729.0,3798.0,157166.0
30,256995.0,19249.0,51790.0,24273.0,9984.0,12830.0,375121.0
34,95163.0,11886.0,12024.0,9967.0,3032.0,8231.0,140303.0
38,117589.0,8399.0,18903.0,13319.0,8228.0,8192.0,174630.0
42,76615.0,982.0,18085.0,6439.0,3512.0,2041.0,107674.0
46,69060.0,948.0,11270.0,6664.0,1087.0,2068.0,91097.0
50,309626.0,10754.0,87224.0,52125.0,21763.0,13349.0,494841.0
54,204876.0,27946.0,32073.0,22316.0,6572.0,9170.0,302953.0
58,110311.0,6204.0,33222.0,12392.0,3596.0,4332.0,170057.0
62,128043.0,7255.0,36079.0,15819.0,6677.0,5316.0,199189.0
66,197094.0,19884.0,35516.0,23843.0,9544.0,13913.0,299794.0
70,116649.0,4565.0,20389.0,25496.0,3276.0,6780.0,177155.0
74,89378.0,1591.0,20304.0,10113.0,2518.0,3018.0,126922.0
78,48327.0,1898.0,21952.0,4535.0,2998.0,2086.0,81796.0
82,707444.0,41974.0,157265.0,67048.0,19131.0,30915.0,1023777.0
86,174177.0,13868.0,9130.0,12079.0,3153.0,5618.0,218025.0
90,259720.0,26586.0,31124.0,28388.0,5321.0,17399.0,368538.0
94,21703.0,3842.0,9854.0,1750.0,956.0,851.0,38956.0
