Código,1,2,3,4,5,6,7,8  y más,Total
02001,32028.0,24920.0,13225.0,8069.0,3666.0,1655.0,470.0,435.0,84468.0
02002,29816.0,23493.0,9711.0,6273.0,2576.0,940.0,206.0,141.0,73156.0
02003,28972.0,24661.0,13089.0,8362.0,3179.0,1429.0,397.0,400.0,80489.0
02004,17977.0,20631.0,15009.0,11936.0,5932.0,3082.0,862.0,1026.0,76455.0
02005,25806.0,24423.0,12938.0,9028.0,3086.0,1076.0,274.0,215.0,76846.0
02006,23644.0,24704.0,13142.0,9699.0,2968.0,751.0,173.0,108.0,75189.0
02007,20311.0,23778.0,15769.0,12658.0,5334.0,2352.0,632.0,649.0,81483.0
02008,9776.0,13618.0,12111.0,10857.0,5998.0,3456.0,1115.0,1273.0,58204.0
02009,11829.0,15802.0,11560.0,9963.0,4358.0,1924.0,536.0,523.0,56495.0
02010,14056.0,18489.0,12540.0,10265.0,3936.0,1537.0,331.0,299.0,61453.0
02011,16954.0,22137.0,14400.0,11603.0,4347.0,1449.0,306.0,264.0,71460.0
02012,20261.0,24765.0,15094.0,12075.0,4396.0,1375.0,340.0,241.0,78547.0
02013,33088.0,33042.0,16612.0,12078.0,4146.0,1182.0,246.0,112.0,100506.0
02014,38853.0,33250.0,14987.0,10459.0,3767.0,1215.0,238.0,149.0,102918.0
02015,20596.0,22236.0,13446.0,10176.0,3874.0,1452.0,335.0,350.0,72465.0
06028,20557.0,31385.0,32888.0,32290.0,19254.0,11614.0,4014.0,4916.0,156918.0
06035,21780.0,28631.0,23824.0,20355.0,10070.0,5190.0,1538.0,1754.0,113142.0
06091,12154.0,19134.0,20162.0,19422.0,11149.0,6333.0,2247.0,2563.0,93164.0
06260,11069.0,16873.0,18373.0,18290.0,10593.0,6191.0,2109.0,2454.0,85952.0
06270,5474.0,8124.0,9415.0,9279.0,5851.0,3582.0,1284.0,1478.0,44487.0
06274,12810.0,19675.0,23540.0,23596.0,15330.0,9564.0,3890.0,4730.0,113135.0
