Código,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
02,411608.0,446200.0,226408.0,52569.0,9701.0,2131.0,704.0,373.0,256.0,65.0,33.0,38.0,5.0,11.0,10.0,4.0,2.0,8.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1150134.0
06,1032179.0,2399934.0,1106132.0,203207.0,36590.0,7474.0,2132.0,769.0,714.0,115.0,61.0,65.0,28.0,15.0,10.0,10.0,6.0,2.0,3.0,6.0,3.0,16.0,5.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,4789484.0
10,16485.0,35087.0,31728.0,9653.0,2243.0,521.0,154.0,71.0,20.0,12.0,6.0,6.0,6.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96001.0
14,201441.0,475550.0,301698.0,44110.0,6640.0,1330.0,472.0,207.0,211.0,57.0,14.0,14.0,2.0,4.0,85.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1031843.0
18,59663.0,109938.0,74060.0,19090.0,3709.0,880.0,230.0,115.0,65.0,22.0,7.0,5.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267797.0
22,71253.0,125584.0,74351.0,14633.0,2066.0,355.0,91.0,37.0,31.0,10.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288422.0
26,38094.0,67737.0,41747.0,7930.0,1224.0,289.0,83.0,32.0,19.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157166.0
30,73069.0,173923.0,107823.0,17297.0,2306.0,413.0,145.0,50.0,57.0,15.0,11.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375121.0
34,37607.0,55413.0,36450.0,8770.0,1559.0,348.0,95.0,23.0,22.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140303.0
38,41978.0,61909.0,49919.0,15094.0,4025.0,1136.0,330.0,141.0,47.0,30.0,5.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,174630.0
42,17605.0,50779.0,34857.0,3842.0,453.0,89.0,27.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107674.0
46,17995.0,34534.0,29015.0,7760.0,1368.0,288.0,74.0,33.0,17.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91097.0
50,83383.0,204548.0,174259.0,28107.0,3571.0,637.0,176.0,42.0,89.0,14.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,494841.0
54,58443.0,121860.0,97506.0,21035.0,3256.0,636.0,116.0,53.0,26.0,9.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,302953.0
58,46117.0,67086.0,47030.0,8287.0,1211.0,195.0,70.0,29.0,27.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170057.0
62,51452.0,79554.0,56526.0,9975.0,1322.0,235.0,74.0,28.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199189.0
66,71601.0,101655.0,90272.0,27414.0,6365.0,1688.0,461.0,181.0,83.0,49.0,7.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299794.0
70,29882.0,64854.0,70613.0,10369.0,1114.0,208.0,55.0,21.0,13.0,9.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177155.0
74,22916.0,60149.0,36542.0,6198.0,847.0,180.0,50.0,9.0,12.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126922.0
78,17942.0,32480.0,24859.0,5433.0,751.0,171.0,63.0,50.0,17.0,8.0,9.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81796.0
82,203263.0,529461.0,251850.0,33453.0,4383.0,752.0,267.0,103.0,156.0,30.0,10.0,8.0,3.0,7.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023777.0
86,41749.0,93474.0,63874.0,15468.0,2627.0,585.0,136.0,52.0,31.0,8.0,4.0,4.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,218025.0
90,69283.0,138685.0,122402.0,30936.0,5537.0,1173.0,307.0,119.0,56.0,19.0,2.0,8.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368538.0
94,8710.0,14641.0,11687.0,3168.0,563.0,119.0,37.0,16.0,8.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38956.0
