Código,Propietario de la vivienda y del terreno,Propietario sólo de la vivienda,Inquilino,Ocupante por préstamo,Ocupante por trabajo,Otra situación,Total
02001,35149.0,6106.0,35912.0,3005.0,2622.0,1674.0,84468.0
02002,39395.0,3181.0,23847.0,2692.0,3276.0,765.0,73156.0
02003,35946.0,4870.0,33496.0,3048.0,1745.0,1384.0,80489.0
02004,40694.0,5158.0,24093.0,3324.0,791.0,2395.0,76455.0
02005,40226.0,4692.0,26359.0,2924.0,1511.0,1134.0,76846.0
02006,45355.0,4278.0,20361.0,2424.0,1970.0,801.0,75189.0
02007,46205.0,5961.0,23153.0,3274.0,1301.0,1589.0,81483.0
02008,34856.0,5711.0,12464.0,3191.0,258.0,1724.0,58204.0
02009,35898.0,2763.0,13660.0,2672.0,330.0,1172.0,56495.0
02010,39084.0,3439.0,15078.0,2439.0,473.0,940.0,61453.0
02011,46750.0,3870.0,16492.0,2680.0,701.0,967.0,71460.0
02012,50669.0,4080.0,18687.0,2930.0,964.0,1217.0,78547.0
02013,60633.0,5520.0,27054.0,3358.0,2830.0,1111.0,100506.0
02014,56908.0,5514.0,31917.0,3562.0,3832.0,1185.0,102918.0
02015,41190.0,4642.0,20870.0,2990.0,1189.0,1584.0,72465.0
06028,119172.0,8066.0,13481.0,11263.0,528.0,4408.0,156918.0
06035,78069.0,4894.0,20187.0,6095.0,653.0,3244.0,113142.0
06091,69583.0,4179.0,9149.0,7451.0,579.0,2223.0,93164.0
06260,63251.0,3550.0,9498.0,6563.0,412.0,2678.0,85952.0
06270,34255.0,2100.0,3833.0,2983.0,391.0,925.0,44487.0
06274,83221.0,7085.0,8274.0,10233.0,856.0,3466.0,113135.0
06371,90392.0,6962.0,24786.0,7098.0,560.0,3404.0,133202.0
06408,39137.0,2142.0,7512.0,4229.0,198.0,1904.0,55122.0
06410,40137.0,1110.0,5136.0,3389.0,248.0,1424.0,51444.0
06412,51693.0,3481.0,6574.0,7616.0,422.0,1936.0,71722.0
06427,331878.0,24717.0,70775.0,37929.0,1875.0,17735.0,484909.0
06434,106300.0,7553.0,23156.0,7966.0,528.0,4091.0,149594.0
06490,140120.0,7783.0,23668.0,11772.0,670.0,4831.0,188844.0
