Código,Varón,Mujer,Total
02001,4222.0,4271.0,8493.0
02002,2655.0,3003.0,5658.0
02003,3810.0,3912.0,7722.0
02004,6086.0,6249.0,12335.0
02005,3577.0,3524.0,7101.0
02006,3254.0,3339.0,6593.0
02007,5445.0,5364.0,10809.0
02008,6024.0,6106.0,12130.0
02009,4087.0,4098.0,8185.0
02010,3964.0,3750.0,7714.0
02011,4293.0,4132.0,8425.0
02012,4210.0,4034.0,8244.0
02013,4361.0,4232.0,8593.0
02014,3957.0,4236.0,8193.0
02015,4146.0,3832.0,7978.0
06028,20598.0,20025.0,40623.0
06035,9985.0,9859.0,19844.0
06091,11171.0,11203.0,22374.0
06260,11136.0,10967.0,22103.0
06270,6230.0,6196.0,12426.0
06274,17435.0,17024.0,34459.0
06371,12548.0,12410.0,24958.0
06408,5648.0,5675.0,11323.0
06410,5142.0,5144.0,10286.0
06412,10277.0,10189.0,20466.0
06427,64872.0,64287.0,129159.0
06434,13407.0,13180.0,26587.0
06490,20548.0,19836.0,40384.0
06515,11995.0,11474.0,23469.0
06539,19952.0,19334.0,39286.0
06560,18046.0,17650.0,35696.0
06568,8905.0,8500.0,17405.0
06658,19122.0,19040.0,38162.0
06749,5351.0,5358.0,10709.0
06756,8216.0,7976.0,16192.0
06760,9750.0,9798.0,19548.0
06805,13005.0,12880.0,25885.0
06840,9753.0,9412.0,19165.0
06861,6668.0,6399.0,13067.0
06007,552.0,585.0,1137.0
06014,451.0,386.0,837.0
06021,292.0,282.0,574.0
06042,698.0,659.0,1357.0
06049,2125.0,2083.0,4208.0
06056,9347.0,9045.0,18392.0
06063,1389.0,1313.0,2702.0
06070,1083.0,1032.0,2115.0
06077,959.0,990.0,1949.0
06084,676.0,598.0,1274.0
06098,2970.0,2944.0,5914.0
06105,1097.0,1068.0,2165.0
06112,1349.0,1223.0,2572.0
06119,910.0,876.0,1786.0
06126,3243.0,3117.0,6360.0
06134,1972.0,1769.0,3741.0
06140,421.0,500.0,921.0
06147,737.0,743.0,1480.0
06154,365.0,365.0,730.0
06161,465.0,459.0,924.0
06168,254.0,271.0,525.0
06175,769.0,839.0,1608.0
06182,2051.0,1940.0,3991.0
06189,496.0,463.0,959.0
06196,865.0,793.0,1658.0
06203,1251.0,1269.0,2520.0
06210,1398.0,1466.0,2864.0
06217,1354.0,1327.0,2681.0
