Código,Asiste,Asistió,Nunca asistió,Total
02001,6801.0,1659.0,33.0,8493.0
02002,5181.0,466.0,11.0,5658.0
02003,6575.0,1128.0,19.0,7722.0
02004,9932.0,2361.0,42.0,12335.0
02005,6320.0,767.0,14.0,7101.0
02006,6009.0,580.0,4.0,6593.0
02007,9055.0,1712.0,42.0,10809.0
02008,9250.0,2849.0,31.0,12130.0
02009,6900.0,1268.0,17.0,8185.0
02010,6723.0,976.0,15.0,7714.0
02011,7538.0,875.0,12.0,8425.0
02012,7440.0,799.0,5.0,8244.0
02013,7847.0,738.0,8.0,8593.0
02014,7461.0,726.0,6.0,8193.0
02015,6992.0,979.0,7.0,7978.0
06028,32260.0,8286.0,77.0,40623.0
06035,16508.0,3293.0,43.0,19844.0
06091,18345.0,3981.0,48.0,22374.0
06260,17018.0,5030.0,55.0,22103.0
06270,9582.0,2805.0,39.0,12426.0
06274,26276.0,8115.0,68.0,34459.0
06371,19700.0,5204.0,54.0,24958.0
06408,9356.0,1950.0,17.0,11323.0
06410,8697.0,1582.0,7.0,10286.0
06412,15170.0,5243.0,53.0,20466.0
06427,98337.0,30526.0,296.0,129159.0
06434,21767.0,4771.0,49.0,26587.0
06490,31960.0,8323.0,101.0,40384.0
06515,17950.0,5479.0,40.0,23469.0
06539,30064.0,9135.0,87.0,39286.0
06560,26745.0,8869.0,82.0,35696.0
06568,15146.0,2240.0,19.0,17405.0
06658,30426.0,7603.0,133.0,38162.0
06749,8607.0,2083.0,19.0,10709.0
06756,14186.0,1989.0,17.0,16192.0
06760,15511.0,3989.0,48.0,19548.0
06805,20238.0,5591.0,56.0,25885.0
06840,15944.0,3160.0,61.0,19165.0
06861,11864.0,1194.0,9.0,13067.0
06007,870.0,265.0,2.0,1137.0
06014,643.0,192.0,2.0,837.0
06021,449.0,125.0,0.0,574.0
06042,992.0,364.0,1.0,1357.0
06049,3254.0,952.0,2.0,4208.0
06056,15194.0,3174.0,24.0,18392.0
06063,1954.0,742.0,6.0,2702.0
06070,1644.0,462.0,9.0,2115.0
06077,1364.0,581.0,4.0,1949.0
06084,984.0,290.0,0.0,1274.0
06098,4723.0,1181.0,10.0,5914.0
06105,1658.0,503.0,4.0,2165.0
06112,1882.0,688.0,2.0,2572.0
06119,1281.0,499.0,6.0,1786.0
06126,4716.0,1624.0,20.0,6360.0
06134,2643.0,1083.0,15.0,3741.0
06140,659.0,261.0,1.0,921.0
06147,1049.0,429.0,2.0,1480.0
06154,530.0,198.0,2.0,730.0
06161,645.0,277.0,2.0,924.0
06168,415.0,110.0,0.0,525.0
06175,1160.0,446.0,2.0,1608.0
06182,3455.0,534.0,2.0,3991.0
06189,742.0,216.0,1.0,959.0
06196,1204.0,451.0,3.0,1658.0
06203,1869.0,650.0,1.0,2520.0
06210,2062.0,791.0,11.0,2864.0
06217,2056.0,623.0,2.0,2681.0
06224,2732.0,1011.0,7.0,3750.0
06231,851.0,302.0,0.0,1153.0
06238,1540.0,288.0,0.0,1828.0
06245,2902.0,892.0,4.0,3798.0
06252,11946.0,3809.0,40.0,15795.0
06266,1503.0,583.0,3.0,2089.0
06277,473.0,202.0,0.0,675.0
06280,2059.0,580.0,2.0,2641.0
06287,528.0,159.0,0.0,687.0
06294,681.0,220.0,1.0,902.0
06301,841.0,297.0,2.0,1140.0
06308,139.0,40.0,0.0,179.0
06315,1026.0,383.0,1.0,1410.0
06322,586.0,209.0,1.0,796.0
06329,720.0,244.0,3.0,967.0
06336,201.0,55.0,0.0,256.0
06343,511.0,188.0,1.0,700.0
06351,603.0,191.0,0.0,794.0
06357,29874.0,8310.0,73.0,38257.0
06364,4557.0,1981.0,11.0,6549.0
06385,956.0,272.0,0.0,1228.0
06392,1486.0,609.0,2.0,2097.0
06399,533.0,184.0,0.0,717.0
06406,483.0,171.0,1.0,655.0
06413,4299.0,1090.0,10.0,5399.0
06420,3567.0,959.0,7.0,4533.0
06441,32269.0,7390.0,115.0,39774.0
06448,567.0,189.0,0.0,756.0
06455,1084.0,436.0,0.0,1520.0
06462,822.0,323.0,0.0,1145.0
06469,2026.0,614.0,6.0,2646.0
06476,924.0,267.0,0.0,1191.0
06483,1531.0,689.0,3.0,2223.0
06497,5029.0,1770.0,13.0,6812.0
06505,891.0,298.0,5.0,1194.0
06511,536.0,130.0,0.0,666.0
06518,1054.0,289.0,0.0,1343.0
06525,2945.0,1253.0,6.0,4204.0
06532,3052.0,1013.0,1.0,4066.0
06547,951.0,428.0,2.0,1381.0
06553,276.0,89.0,1.0,366.0
06574,800.0,379.0,0.0,1179.0
06581,4785.0,1266.0,10.0,6061.0
06588,2212.0,860.0,3.0,3075.0
06595,5608.0,1418.0,11.0,7037.0
