Código,Asiste,Asistió,Nunca asistió,Total
02,110024.0,17883.0,266.0,128173.0
06,817725.0,227859.0,2142.0,1047726.0
10,24013.0,6171.0,95.0,30279.0
14,163834.0,60550.0,487.0,224871.0
18,60385.0,22988.0,565.0,83938.0
22,62542.0,29211.0,809.0,92562.0
26,29480.0,7187.0,55.0,36722.0
30,65376.0,24539.0,307.0,90222.0
34,36682.0,12015.0,275.0,48972.0
38,47170.0,11074.0,132.0,58376.0
42,16772.0,5564.0,109.0,22445.0
46,21955.0,6536.0,122.0,28613.0
50,95323.0,30743.0,270.0,126336.0
54,64543.0,31993.0,873.0,97409.0
58,32740.0,8700.0,85.0,41525.0
62,37110.0,10943.0,75.0,48128.0
66,78973.0,25514.0,444.0,104931.0
70,37592.0,14013.0,172.0,51777.0
74,23956.0,8304.0,79.0,32339.0
78,16384.0,3136.0,40.0,19560.0
82,151782.0,61555.0,563.0,213900.0
86,45316.0,27892.0,646.0,73854.0
90,81955.0,30320.0,596.0,112871.0
94,8542.0,962.0,6.0,9510.0
