Código,Varón,Mujer,Total
02,64091.0,64082.0,128173.0
06,529309.0,518417.0,1047726.0
10,15423.0,14856.0,30279.0
14,113946.0,110925.0,224871.0
18,42185.0,41753.0,83938.0
22,46571.0,45991.0,92562.0
26,18632.0,18090.0,36722.0
30,45861.0,44361.0,90222.0
34,24740.0,24232.0,48972.0
38,29334.0,29042.0,58376.0
42,11379.0,11066.0,22445.0
46,14374.0,14239.0,28613.0
50,64015.0,62321.0,126336.0
54,48953.0,48456.0,97409.0
58,21127.0,20398.0,41525.0
62,24362.0,23766.0,48128.0
66,52668.0,52263.0,104931.0
70,25986.0,25791.0,51777.0
74,16299.0,16040.0,32339.0
78,9937.0,9623.0,19560.0
82,107716.0,106184.0,213900.0
86,37311.0,36543.0,73854.0
90,56684.0,56187.0,112871.0
94,4853.0,4657.0,9510.0
