Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total
02,371174.0,222664.0,376994.0,62409.0,99254.0,17639.0,1150134.0
06,1031776.0,854553.0,1525227.0,480321.0,725282.0,172325.0,4789484.0
10,20298.0,15994.0,26727.0,11018.0,16973.0,4991.0,96001.0
14,279887.0,203951.0,299220.0,86429.0,129374.0,32982.0,1031843.0
18,49943.0,41559.0,79660.0,29633.0,49873.0,17129.0,267797.0
22,51495.0,43323.0,84499.0,31924.0,56517.0,20664.0,288422.0
26,35597.0,27004.0,49069.0,15061.0,24246.0,6189.0,157166.0
30,92785.0,69537.0,110776.0,34844.0,52774.0,14405.0,375121.0
34,21649.0,17787.0,40656.0,15880.0,30950.0,13381.0,140303.0
38,31964.0,27579.0,51114.0,19344.0,32933.0,11696.0,174630.0
42,34603.0,20760.0,30785.0,8436.0,11253.0,1837.0,107674.0
46,17675.0,13834.0,26564.0,10456.0,17422.0,5146.0,91097.0
50,106675.0,96169.0,153546.0,50733.0,69081.0,18637.0,494841.0
54,56889.0,49833.0,96628.0,35516.0,50889.0,13198.0,302953.0
58,35145.0,28817.0,53913.0,16143.0,28252.0,7787.0,170057.0
62,46500.0,35103.0,61512.0,18340.0,29581.0,8153.0,199189.0
66,50606.0,44084.0,84073.0,33526.0,60800.0,26705.0,299794.0
70,33956.0,31270.0,53048.0,20446.0,29129.0,9306.0,177155.0
74,28712.0,23068.0,40113.0,12667.0,17414.0,4948.0,126922.0
78,18073.0,13836.0,25284.0,8331.0,13295.0,2977.0,81796.0
82,279505.0,200913.0,298048.0,85574.0,126895.0,32842.0,1023777.0
86,37289.0,32450.0,61056.0,26718.0,44003.0,16509.0,218025.0
90,60176.0,59905.0,115021.0,45318.0,67568.0,20550.0,368538.0
94,8783.0,7205.0,12750.0,3897.0,5403.0,918.0,38956.0
