Código,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
02001,44089.0,26433.0,10337.0,2622.0,661.0,202.0,50.0,30.0,24.0,7.0,2.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84468.0
02002,28504.0,23786.0,15053.0,4691.0,855.0,163.0,45.0,28.0,24.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73156.0
02003,39795.0,27823.0,10412.0,1866.0,359.0,102.0,49.0,49.0,11.0,12.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80489.0
02004,27071.0,32190.0,13520.0,2808.0,653.0,116.0,50.0,26.0,11.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76455.0
02005,32191.0,29413.0,12443.0,2218.0,398.0,83.0,44.0,22.0,28.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76846.0
02006,26254.0,29176.0,16038.0,3099.0,464.0,97.0,28.0,20.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75189.0
02007,27066.0,31398.0,17882.0,3982.0,782.0,205.0,81.0,39.0,27.0,0.0,0.0,4.0,0.0,3.0,1.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81483.0
02008,15713.0,26136.0,12584.0,2864.0,659.0,157.0,54.0,25.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58204.0
02009,14511.0,26424.0,12367.0,2545.0,450.0,114.0,38.0,18.0,17.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56495.0
02010,17019.0,26876.0,14199.0,2742.0,441.0,122.0,22.0,7.0,13.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61453.0
02011,19290.0,30483.0,17119.0,3727.0,630.0,124.0,29.0,18.0,24.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71460.0
02012,23315.0,33113.0,17521.0,3742.0,644.0,126.0,36.0,23.0,17.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78547.0
02013,32818.0,37799.0,22190.0,6314.0,1074.0,196.0,55.0,26.0,13.0,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100506.0
02014,38448.0,36156.0,20597.0,6259.0,1113.0,205.0,89.0,24.0,21.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102918.0
02015,25524.0,28994.0,14146.0,3090.0,518.0,119.0,34.0,18.0,13.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72465.0
06028,31633.0,80196.0,37198.0,6476.0,1084.0,219.0,47.0,18.0,39.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156918.0
06035,26057.0,56350.0,25351.0,4382.0,757.0,161.0,38.0,22.0,16.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113142.0
06091,19851.0,47806.0,20774.0,3872.0,668.0,131.0,34.0,16.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93164.0
06260,20392.0,42674.0,18463.0,3633.0,612.0,109.0,34.0,12.0,11.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85952.0
06270,12287.0,21332.0,8918.0,1573.0,302.0,44.0,10.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44487.0
06274,29596.0,56781.0,21842.0,4054.0,694.0,111.0,34.0,13.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113135.0
