Código,Varón,Mujer,Total
02,1329681.0,1560470.0,2890151.0
06,7604581.0,8020503.0,15625084.0
10,182309.0,185519.0,367828.0
14,1605088.0,1703788.0,3308876.0
18,485075.0,507520.0,992595.0
22,519950.0,535309.0,1055259.0
26,254649.0,254459.0,509108.0
30,604566.0,631428.0,1235994.0
34,262395.0,267767.0,530162.0
38,329990.0,343317.0,673307.0
42,157797.0,161154.0,318951.0
46,165127.0,168515.0,333642.0
50,846831.0,892098.0,1738929.0
54,547335.0,554258.0,1101593.0
58,273608.0,277658.0,551266.0
62,316774.0,321871.0,638645.0
66,597153.0,617288.0,1214441.0
70,333228.0,347827.0,681055.0
74,213407.0,218903.0,432310.0
78,141087.0,132877.0,273964.0
82,1547861.0,1646676.0,3194537.0
86,432632.0,441374.0,874006.0
90,707387.0,740801.0,1448188.0
94,65255.0,61950.0,127205.0
