Código,1,2,3,4,5,6,7,8  y más,Total
02,343967.0,349949.0,203633.0,153501.0,61563.0,24875.0,6461.0,6185.0,1150134.0
06,800185.0,1104212.0,976053.0,909686.0,507028.0,298710.0,90013.0,103597.0,4789484.0
10,13577.0,16419.0,17902.0,17586.0,12714.0,8565.0,3910.0,5328.0,96001.0
14,188791.0,245208.0,200976.0,188272.0,110947.0,57262.0,19893.0,20494.0,1031843.0
18,39060.0,49551.0,51223.0,48243.0,33016.0,23107.0,9633.0,13964.0,267797.0
22,41129.0,53008.0,57027.0,54176.0,36389.0,24263.0,9374.0,13056.0,288422.0
26,28838.0,34801.0,32558.0,29421.0,16879.0,8600.0,3173.0,2896.0,157166.0
30,64405.0,84662.0,76528.0,68795.0,40177.0,21831.0,8699.0,10024.0,375121.0
34,20397.0,24737.0,26669.0,24597.0,17632.0,12711.0,5228.0,8332.0,140303.0
38,24081.0,28818.0,32665.0,32670.0,23093.0,15776.0,7363.0,10164.0,174630.0
42,23342.0,27574.0,21479.0,18331.0,9379.0,4341.0,1701.0,1527.0,107674.0
46,13528.0,15941.0,17872.0,17094.0,11851.0,7703.0,3142.0,3966.0,91097.0
50,67015.0,103162.0,97561.0,100350.0,64238.0,34577.0,13732.0,14206.0,494841.0
54,44105.0,57861.0,60312.0,55190.0,36946.0,23928.0,10436.0,14175.0,302953.0
58,29877.0,36701.0,36196.0,33316.0,18608.0,9280.0,3184.0,2895.0,170057.0
62,36589.0,45055.0,41085.0,37332.0,21275.0,10705.0,3825.0,3323.0,199189.0
66,38506.0,46510.0,52865.0,54169.0,41261.0,30059.0,14140.0,22284.0,299794.0
70,19274.0,31825.0,34139.0,35339.0,25535.0,15891.0,6958.0,8194.0,177155.0
74,21207.0,26582.0,24569.0,23704.0,15024.0,8533.0,3462.0,3841.0,126922.0
78,14432.0,17390.0,17011.0,15349.0,9164.0,4973.0,1824.0,1653.0,81796.0
82,194254.0,247380.0,205034.0,188023.0,100924.0,51475.0,17765.0,18922.0,1023777.0
86,26532.0,34445.0,40549.0,40266.0,29721.0,21293.0,9564.0,15655.0,218025.0
90,43202.0,58672.0,67541.0,71766.0,54387.0,37492.0,15146.0,20332.0,368538.0
94,6895.0,8418.0,8249.0,7592.0,4227.0,2166.0,767.0,642.0,38956.0
